#Please import the downloaded file into Excel 2007 or above version
Family	Family_type	Sequence_Acc	Domains	Sequence_Annotation
C2H2	transcription factor	Potra2n10c22169.2	IPR001841	protein AED:0.10 eAED:0.10 QI:268|1|1|1|0.33|0.25|4|962|891
C2H2	transcription factor	Potra2n10c22169.3	IPR001841	protein AED:0.11 eAED:0.11 QI:236|1|1|1|0.5|0.33|3|962|888
WD40-like	transcription factor	Potra2n10c22178.1	IPR001680,IPR017986	protein AED:0.20 eAED:0.20 QI:352|1|1|1|0.8|0.63|11|844|473
WD40-like	transcription factor	Potra2n10c22178.2	IPR001680,IPR017986	protein AED:0.23 eAED:0.23 QI:352|1|1|1|0.8|0.63|11|579|473
SBP	transcription factor	Potra2n10c22180.1	IPR004333	protein AED:0.21 eAED:0.21 QI:304|1|1|1|0.9|0.81|11|837|792
MYB-HB-like	transcription factor	Potra2n10c22203.1	IPR001005,IPR009057,IPR017884	protein AED:0.11 eAED:0.09 QI:453|0.9|0.90|1|0.85|0.76|21|148|1190
MYB/SANT	transcription factor	Potra2n10c22203.1	IPR001005,IPR009057,IPR017884	protein AED:0.11 eAED:0.09 QI:453|0.9|0.90|1|0.85|0.76|21|148|1190
MYB-HB-like	transcription factor	Potra2n10c22203.2	IPR001005,IPR009057,IPR017884	protein AED:0.09 eAED:0.07 QI:453|0.89|0.9|1|0.89|0.85|20|393|1190
MYB/SANT	transcription factor	Potra2n10c22203.2	IPR001005,IPR009057,IPR017884	protein AED:0.09 eAED:0.07 QI:453|0.89|0.9|1|0.89|0.85|20|393|1190
MYB-HB-like	transcription factor	Potra2n10c22203.3	IPR001005,IPR009057,IPR017884	protein AED:0.08 eAED:0.06 QI:508|0.88|0.89|1|0.94|0.94|19|393|1190
MYB/SANT	transcription factor	Potra2n10c22203.3	IPR001005,IPR009057,IPR017884	protein AED:0.08 eAED:0.06 QI:508|0.88|0.89|1|0.94|0.94|19|393|1190
MYB-HB-like	transcription factor	Potra2n10c22198.1	IPR001005,IPR009057,IPR017884	protein AED:0.05 eAED:0.05 QI:470|1|1|1|0.5|0.33|3|806|876
MYB/SANT	transcription factor	Potra2n10c22198.1	IPR001005,IPR009057,IPR017884	protein AED:0.05 eAED:0.05 QI:470|1|1|1|0.5|0.33|3|806|876
MYB-HB-like	transcription factor	Potra2n10c22198.2	IPR001005,IPR009057,IPR017884	protein AED:0.07 eAED:0.07 QI:339|1|1|1|1|0.66|3|806|878
MYB/SANT	transcription factor	Potra2n10c22198.2	IPR001005,IPR009057,IPR017884	protein AED:0.07 eAED:0.07 QI:339|1|1|1|1|0.66|3|806|878
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n10c22223.1	IPR000330,IPR014978	protein AED:0.08 eAED:0.08 QI:640|1|0.97|1|0.75|0.81|37|0|3955
SNF2	chromatin remodeling	Potra2n10c22223.1	IPR000330,IPR014978	protein AED:0.08 eAED:0.08 QI:640|1|0.97|1|0.75|0.81|37|0|3955
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n10c22223.2	IPR000330,IPR014978	protein AED:0.07 eAED:0.06 QI:1216|1|0.97|1|0.8|0.86|36|0|3936
SNF2	chromatin remodeling	Potra2n10c22223.2	IPR000330,IPR014978	protein AED:0.07 eAED:0.06 QI:1216|1|0.97|1|0.8|0.86|36|0|3936
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n10c22223.3	IPR000330,IPR014978	protein AED:0.07 eAED:0.07 QI:1216|1|0.97|1|0.85|0.88|35|0|3896
SNF2	chromatin remodeling	Potra2n10c22223.3	IPR000330,IPR014978	protein AED:0.07 eAED:0.07 QI:1216|1|0.97|1|0.85|0.88|35|0|3896
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n10c22223.4	IPR000330,IPR014978	protein AED:0.07 eAED:0.07 QI:1216|1|0.97|1|0.90|0.91|34|0|3875
SNF2	chromatin remodeling	Potra2n10c22223.4	IPR000330,IPR014978	protein AED:0.07 eAED:0.07 QI:1216|1|0.97|1|0.90|0.91|34|0|3875
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n10c22223.5	IPR000330,IPR014978	protein AED:0.09 eAED:0.09 QI:652|1|0.97|1|0.90|0.91|34|0|3875
SNF2	chromatin remodeling	Potra2n10c22223.5	IPR000330,IPR014978	protein AED:0.09 eAED:0.09 QI:652|1|0.97|1|0.90|0.91|34|0|3875
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n10c22223.6	IPR000330,IPR014978	protein AED:0.06 eAED:0.06 QI:1526|1|0.96|1|0.93|0.96|33|0|3875
SNF2	chromatin remodeling	Potra2n10c22223.6	IPR000330,IPR014978	protein AED:0.06 eAED:0.06 QI:1526|1|0.96|1|0.93|0.96|33|0|3875
MYB-HB-like	transcription factor	Potra2n10c22220.1	IPR001005,IPR009057,IPR017884	protein AED:0.18 eAED:0.18 QI:25|0.75|0.80|0.95|0.7|0.80|21|775|1236
MYB/SANT	transcription factor	Potra2n10c22220.1	IPR001005,IPR009057,IPR017884	protein AED:0.18 eAED:0.18 QI:25|0.75|0.80|0.95|0.7|0.80|21|775|1236
MYB-HB-like	transcription factor	Potra2n10c22220.2	IPR001005,IPR009057,IPR017884	protein AED:0.19 eAED:0.19 QI:25|0.84|0.85|0.95|0.78|0.85|20|775|1176
MYB/SANT	transcription factor	Potra2n10c22220.2	IPR001005,IPR009057,IPR017884	protein AED:0.19 eAED:0.19 QI:25|0.84|0.85|0.95|0.78|0.85|20|775|1176
MYB-HB-like	transcription factor	Potra2n10c22220.3	IPR001005,IPR009057,IPR017884	protein AED:0.15 eAED:0.15 QI:25|0.83|0.84|0.94|0.83|0.84|19|1346|1176
MYB/SANT	transcription factor	Potra2n10c22220.3	IPR001005,IPR009057,IPR017884	protein AED:0.15 eAED:0.15 QI:25|0.83|0.84|0.94|0.83|0.84|19|1346|1176
C3H	transcription factor	Potra2n10c22209.1	IPR000571	protein AED:0.27 eAED:0.27 QI:508|1|1|1|0.85|0.75|8|795|472
C3H	transcription factor	Potra2n10c22209.2	IPR000571	protein AED:0.26 eAED:0.26 QI:508|1|1|1|1|1|7|948|472
MYB-HB-like	transcription factor	Potra2n10c22218.1	IPR000330,IPR001005,IPR009057,IPR015194,IPR017884	protein AED:0.07 eAED:0.06 QI:440|0.92|0.88|1|0.92|0.88|26|1063|1112
MYB/SANT	transcription factor	Potra2n10c22218.1	IPR000330,IPR001005,IPR009057,IPR015194,IPR017884	protein AED:0.07 eAED:0.06 QI:440|0.92|0.88|1|0.92|0.88|26|1063|1112
SNF2	chromatin remodeling	Potra2n10c22218.1	IPR000330,IPR001005,IPR009057,IPR015194,IPR017884	protein AED:0.07 eAED:0.06 QI:440|0.92|0.88|1|0.92|0.88|26|1063|1112
ISWI	chromatin remodeling	Potra2n10c22218.1	IPR000330,IPR001005,IPR009057,IPR015194,IPR017884	protein AED:0.07 eAED:0.06 QI:440|0.92|0.88|1|0.92|0.88|26|1063|1112
MYB-HB-like	transcription factor	Potra2n10c22218.2	IPR000330,IPR001005,IPR009057,IPR015194,IPR017884	protein AED:0.06 eAED:0.05 QI:440|0.91|0.88|1|0.95|0.92|25|1141|1112
MYB/SANT	transcription factor	Potra2n10c22218.2	IPR000330,IPR001005,IPR009057,IPR015194,IPR017884	protein AED:0.06 eAED:0.05 QI:440|0.91|0.88|1|0.95|0.92|25|1141|1112
SNF2	chromatin remodeling	Potra2n10c22218.2	IPR000330,IPR001005,IPR009057,IPR015194,IPR017884	protein AED:0.06 eAED:0.05 QI:440|0.91|0.88|1|0.95|0.92|25|1141|1112
ISWI	chromatin remodeling	Potra2n10c22218.2	IPR000330,IPR001005,IPR009057,IPR015194,IPR017884	protein AED:0.06 eAED:0.05 QI:440|0.91|0.88|1|0.95|0.92|25|1141|1112
MYB-HB-like	transcription factor	Potra2n10c22218.3	IPR000330,IPR001005,IPR009057,IPR015194,IPR017884	protein AED:0.05 eAED:0.04 QI:440|0.91|0.87|1|1|1|24|1248|1112
MYB/SANT	transcription factor	Potra2n10c22218.3	IPR000330,IPR001005,IPR009057,IPR015194,IPR017884	protein AED:0.05 eAED:0.04 QI:440|0.91|0.87|1|1|1|24|1248|1112
SNF2	chromatin remodeling	Potra2n10c22218.3	IPR000330,IPR001005,IPR009057,IPR015194,IPR017884	protein AED:0.05 eAED:0.04 QI:440|0.91|0.87|1|1|1|24|1248|1112
ISWI	chromatin remodeling	Potra2n10c22218.3	IPR000330,IPR001005,IPR009057,IPR015194,IPR017884	protein AED:0.05 eAED:0.04 QI:440|0.91|0.87|1|1|1|24|1248|1112
WD40-like	transcription factor	Potra2n10c22305.1	IPR001680,IPR015943,IPR017986,IPR019775	protein AED:0.18 eAED:0.18 QI:0|0.8|0.87|1|0.73|0.68|16|1030|648
WD40-like	transcription factor	Potra2n10c22305.2	IPR001680,IPR015943,IPR017986,IPR019775	protein AED:0.21 eAED:0.21 QI:0|0.78|0.8|0.93|0.71|0.73|15|1030|642
WD40-like	transcription factor	Potra2n10c22305.3	IPR001680,IPR015943,IPR017986,IPR019775	protein AED:0.11 eAED:0.11 QI:0|0.92|0.92|0.92|0.76|0.64|14|2243|540
WD40-like	transcription factor	Potra2n10c22305.4	IPR001680,IPR015943,IPR017986,IPR019775	protein AED:0.14 eAED:0.14 QI:0|0.91|0.92|0.92|0.83|0.69|13|1967|540
AP2-EREBP	transcription factor	Potra2n10c22291.1	IPR001471	protein AED:0.18 eAED:0.18 QI:225|1|1|1|1|1|2|420|248
PHD	chromatin regulator	Potra2n10c22337.1	IPR001841,IPR001965	protein AED:0.23 eAED:0.23 QI:0|0.5|0.33|1|0.5|0.66|3|195|315
SNF2	chromatin remodeling	Potra2n10c22325.1	IPR000330	protein AED:0.26 eAED:0.26 QI:364|0.69|0.83|0.95|0.91|0.87|24|1841|609
C2C2-GATA	transcription factor	Potra2n10c22352.1	IPR000679,IPR013088	protein AED:0.33 eAED:0.33 QI:721|1|1|1|0.5|0.66|3|543|149
GARP-G2-like	transcription factor	Potra2n10c22356.1	IPR001005,IPR001789,IPR006447,IPR009057,IPR017053,IPR017930	protein AED:0.09 eAED:0.09 QI:681|1|0.83|1|1|1|6|1270|680
RR-A-type	response regulator and putative novel transcription factor	Potra2n10c22356.1	IPR001005,IPR001789,IPR006447,IPR009057,IPR017053,IPR017930	protein AED:0.09 eAED:0.09 QI:681|1|0.83|1|1|1|6|1270|680
RR-B-type	response regulator and putative novel transcription factor	Potra2n10c22356.1	IPR001005,IPR001789,IPR006447,IPR009057,IPR017053,IPR017930	protein AED:0.09 eAED:0.09 QI:681|1|0.83|1|1|1|6|1270|680
bZIP	transcription factor	Potra2n10c22315.1	IPR004827,IPR011616,IPR011700	protein AED:0.20 eAED:0.20 QI:266|0.8|0.66|1|0.8|0.66|6|695|197
bZIP	transcription factor	Potra2n10c22315.2	IPR004827,IPR011616,IPR011700	protein AED:0.16 eAED:0.16 QI:266|0.75|0.6|1|1|1|5|904|197
bZIP	transcription factor	Potra2n10c22315.3	IPR004827,IPR011616,IPR011700	protein AED:0.32 eAED:0.45 QI:266|0.25|0.4|1|0.5|0.4|5|0|231
bZIP	transcription factor	Potra2n10c22315.4	IPR004827,IPR011616,IPR011700	protein AED:0.16 eAED:0.25 QI:266|0.33|0.75|1|0.66|0.75|4|904|206
MYB-HB-like	transcription factor	Potra2n10c22314.1	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.33 eAED:0.33 QI:395|0.66|0.5|1|0.66|0.5|4|0|349
MYB-HB-like	transcription factor	Potra2n10c22314.2	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.19 eAED:0.19 QI:395|1|1|1|1|1|3|1307|328
MYB-HB-like	transcription factor	Potra2n10c22314.3	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.19 eAED:0.19 QI:395|0.5|1|1|0.5|0.66|3|1307|322
WD40-like	transcription factor	Potra2n10c22273.4	IPR001680,IPR017986,IPR019775	protein AED:0.30 eAED:0.30 QI:259|1|1|1|0.94|0.88|18|682|482
BTB-POZ-MATH	chromatin remodeling & transcription regulator	Potra2n10c22260.1	IPR000210,IPR002083,IPR011333	protein AED:0.23 eAED:0.23 QI:296|0.81|0.83|1|1|1|12|677|821
Homobox-WOX	transcription factor	Potra2n4c8449.1	IPR001356,IPR005540,IPR005541,IPR008422,IPR009057	protein AED:0.25 eAED:0.23 QI:1081|0.5|0.6|0.8|1|1|5|587|391
Homeodomain-TALE-KNOX	transcription factor	Potra2n4c8449.1	IPR001356,IPR005540,IPR005541,IPR008422,IPR009057	protein AED:0.25 eAED:0.23 QI:1081|0.5|0.6|0.8|1|1|5|587|391
NAM	transcription factor	Potra2n137s34713.1	IPR003441	protein AED:0.12 eAED:0.12 QI:129|0.5|0.66|1|1|1|3|77|263
NAM	transcription factor	Potra2n137s34713.2	IPR003441	protein AED:0.17 eAED:0.15 QI:0|0.5|0.33|1|0.5|0.66|3|77|284
NAM	transcription factor	Potra2n137s34717.1	IPR003441	protein AED:0.14 eAED:0.14 QI:131|1|1|1|1|1|3|77|254
Bromodomain	chromatin remodeler	Potra2n137s34714.1	IPR001487	protein AED:0.56 eAED:0.61 QI:0|0.2|0|0.5|0.8|0.83|6|0|304
C2H2	transcription factor	Potra2n4c8432.1	IPR001680,IPR001841,IPR017907,IPR017986,IPR018957,IPR019775	protein AED:0.36 eAED:0.36 QI:198|0.92|0.85|1|0.84|0.78|14|0|623
WD40-like	transcription factor	Potra2n4c8432.1	IPR001680,IPR001841,IPR017907,IPR017986,IPR018957,IPR019775	protein AED:0.36 eAED:0.36 QI:198|0.92|0.85|1|0.84|0.78|14|0|623
CCHC(Zn)	transcription factor interactor and regulator	Potra2n137s34706.1	IPR001878	protein AED:0.43 eAED:0.44 QI:0|0|0|1|0|0|2|0|501
C2H2	transcription factor	Potra2n819s36798.1	IPR001841,IPR013083,IPR018957	protein AED:0.29 eAED:0.29 QI:525|1|1|1|1|1|3|670|226
C2H2	transcription factor	Potra2n4c8432.2	IPR001680,IPR001841,IPR017907,IPR017986,IPR018957,IPR019775	protein AED:0.33 eAED:0.33 QI:198|1|1|1|0.91|0.92|13|588|619
WD40-like	transcription factor	Potra2n4c8432.2	IPR001680,IPR001841,IPR017907,IPR017986,IPR018957,IPR019775	protein AED:0.33 eAED:0.33 QI:198|1|1|1|0.91|0.92|13|588|619
WD40-like	transcription factor	Potra2n4c8432.3	IPR001680,IPR017986,IPR019775	protein AED:0.35 eAED:0.35 QI:1673|0.91|0.84|1|0.83|0.69|13|0|222
WD40-like	transcription factor	Potra2n4c8432.4	IPR001680,IPR017986,IPR019775	protein AED:0.29 eAED:0.29 QI:1910|1|1|1|0.8|0.72|11|588|218
C2H2	transcription factor	Potra2n4c8432.5	IPR001680,IPR001841,IPR017907,IPR017986,IPR018957	protein AED:0.41 eAED:0.41 QI:198|0.87|0.88|1|0.75|0.77|9|0|407
WD40-like	transcription factor	Potra2n4c8432.5	IPR001680,IPR001841,IPR017907,IPR017986,IPR018957	protein AED:0.41 eAED:0.41 QI:198|0.87|0.88|1|0.75|0.77|9|0|407
FHA-SMAD	transcription factor interactor and regulator	Potra2n15c27955.1	IPR008984	protein AED:0.32 eAED:0.32 QI:200|0.73|0.81|1|0.86|0.93|16|643|615
FHA-SMAD	transcription factor interactor and regulator	Potra2n15c27955.3	IPR008984	protein AED:0.24 eAED:0.24 QI:200|1|1|1|1|0.91|12|2467|382
CCHC(Zn)	transcription factor interactor and regulator	Potra2n15c27985.1	IPR001878	protein AED:0.20 eAED:0.20 QI:211|0.85|0.87|1|1|1|8|187|431
bZIP	transcription factor	Potra2n15c27958.1	IPR004827	protein AED:0.39 eAED:0.39 QI:153|1|1|1|0.75|0.6|5|272|359
C2H2	transcription factor	Potra2n15c27970.1	IPR007087,IPR015880	protein AED:0.23 eAED:0.23 QI:297|0.81|0.75|0.91|0.90|0.83|12|0|711
C2H2	transcription factor	Potra2n15c27970.2	IPR007087,IPR015880	protein AED:0.18 eAED:0.18 QI:297|1|1|1|0.88|0.8|10|496|687
MYB-HB-like	transcription factor	Potra2n15c27995.1	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.27 eAED:0.27 QI:120|1|1|1|0.66|0.57|7|492|625
GARP-G2-like	transcription factor	Potra2n15c28053.1	IPR001005,IPR001789,IPR006447,IPR009057,IPR017930	protein AED:0.03 eAED:0.03 QI:0|1|1|1|0.8|0.83|6|243|620
RR-A-type	response regulator and putative novel transcription factor	Potra2n15c28053.1	IPR001005,IPR001789,IPR006447,IPR009057,IPR017930	protein AED:0.03 eAED:0.03 QI:0|1|1|1|0.8|0.83|6|243|620
GARP-G2-like	transcription factor	Potra2n15c28056.1	IPR001789,IPR006447,IPR009057	protein AED:0.15 eAED:0.05 QI:0|0.14|0.12|0.75|1|1|8|0|628
RR-A-type	response regulator and putative novel transcription factor	Potra2n15c28056.1	IPR001789,IPR006447,IPR009057	protein AED:0.15 eAED:0.05 QI:0|0.14|0.12|0.75|1|1|8|0|628
AS2-LOB	transcription factor	Potra2n15c28057.1	IPR004883	protein AED:0.35 eAED:0.43 QI:62|0|0.5|1|0|0|2|0|72
AS2-LOB	transcription factor	Potra2n15c28054.1	IPR004883	protein AED:0.14 eAED:0.53 QI:59|1|0.5|1|1|1|2|0|140
bHLH	transcription factor	Potra2n15c28072.1	IPR011598	protein AED:0.06 eAED:0.06 QI:65|1|1|1|1|1|3|129|247
C3H	transcription factor	Potra2n15c28044.1	IPR000571,IPR001680,IPR017986,IPR019775	protein AED:0.26 eAED:0.26 QI:416|0.77|0.8|1|0.77|0.8|10|1292|459
C3H	transcription factor	Potra2n15c28044.2	IPR000571,IPR001680,IPR017986,IPR019775	protein AED:0.27 eAED:0.27 QI:416|1|1|1|0.88|0.8|10|1287|452
C3H	transcription factor	Potra2n15c28044.3	IPR000571,IPR001680,IPR017986,IPR019775	protein AED:0.27 eAED:0.27 QI:416|1|1|1|1|1|9|1292|452
MADS-MIKC	transcription factor	Potra2n15c28068.1	IPR002100,IPR002487	protein AED:0.26 eAED:0.26 QI:195|0.83|0.85|1|0.83|0.85|7|570|255
MADS-MIKC	transcription factor	Potra2n15c28068.2	IPR002100,IPR002487	protein AED:0.28 eAED:0.28 QI:195|0.83|1|1|1|1|7|570|231
PHD	chromatin regulator	Potra2n4c8451.1	IPR001965,IPR011011,IPR019786,IPR019787	protein AED:0.43 eAED:0.43 QI:527|0.21|0.26|1|0.78|0.73|15|0|634
AP2-EREBP	transcription factor	Potra2n15c28051.1	IPR001471	protein AED:0.33 eAED:0.33 QI:431|0.33|0.25|1|0|0|4|0|265
Homobox-WOX	transcription factor	Potra2n15c28006.1	IPR001356,IPR002913,IPR009057	protein AED:0.20 eAED:0.22 QI:122|0.77|0.9|1|0.66|0.7|10|641|797
HD-SAD	transcription factor & lipid binding	Potra2n15c28006.1	IPR001356,IPR002913,IPR009057	protein AED:0.20 eAED:0.22 QI:122|0.77|0.9|1|0.66|0.7|10|641|797
Homobox-WOX	transcription factor	Potra2n15c28006.2	IPR001356,IPR002913,IPR009057	protein AED:0.23 eAED:0.23 QI:0|0.87|0.88|0.88|0.75|0.77|9|641|759
HD-SAD	transcription factor & lipid binding	Potra2n15c28006.2	IPR001356,IPR002913,IPR009057	protein AED:0.23 eAED:0.23 QI:0|0.87|0.88|0.88|0.75|0.77|9|641|759
Homobox-WOX	transcription factor	Potra2n15c28006.3	IPR001356,IPR002913,IPR009057	protein AED:0.33 eAED:0.33 QI:0|0.71|0.75|0.87|0.71|0.75|8|0|622
HD-SAD	transcription factor & lipid binding	Potra2n15c28006.3	IPR001356,IPR002913,IPR009057	protein AED:0.33 eAED:0.33 QI:0|0.71|0.75|0.87|0.71|0.75|8|0|622
Homobox-WOX	transcription factor	Potra2n15c28006.5	IPR001356,IPR002913,IPR009057	protein AED:0.33 eAED:0.36 QI:122|0.57|0.75|1|0.57|0.62|8|0|559
HD-SAD	transcription factor & lipid binding	Potra2n15c28006.5	IPR001356,IPR002913,IPR009057	protein AED:0.33 eAED:0.36 QI:122|0.57|0.75|1|0.57|0.62|8|0|559
PHD	chromatin regulator	Potra2n4c8451.3	IPR001965,IPR011011,IPR019786,IPR019787	protein AED:0.38 eAED:0.38 QI:527|1|1|1|1|1|4|1111|235
C2H2	transcription factor	Potra2n15c28008.1	IPR001841,IPR002110,IPR017907	protein AED:0.23 eAED:0.23 QI:303|1|1|1|1|1|10|813|511
CHROMO-DOMAIN	chromatin remodeling & transcriptional activation	Potra2n15c27999.1	IPR000953,IPR016197	protein AED:0.27 eAED:0.27 QI:507|0.92|0.92|1|0.92|0.92|14|162|592
CHROMO-DOMAIN	chromatin remodeling & transcriptional activation	Potra2n15c27999.2	IPR000953,IPR016197	protein AED:0.27 eAED:0.27 QI:507|1|1|1|0.84|0.85|14|162|579
C2H2	transcription factor	Potra2n15c28032.1	IPR001841	protein AED:0.30 eAED:0.30 QI:1610|0.90|0.91|1|0.63|0.5|12|1328|158
C2H2	transcription factor	Potra2n15c28032.2	IPR001841	protein AED:0.38 eAED:0.39 QI:1610|0.81|0.75|1|0.63|0.5|12|0|162
FAR	transcription factor	Potra2n15c28028.1	IPR003657,IPR004330,IPR006564	protein AED:0.06 eAED:0.06 QI:296|0.5|0.6|1|0.25|0|5|714|856
HSF-type-DNA-binding	transcription factor	Potra2n15c28011.1	IPR000232	protein AED:0.12 eAED:0.12 QI:268|1|1|1|1|1|2|1520|262
TCP	transcription factor	Potra2n15c28036.1	IPR005333,IPR017887	protein AED:0.12 eAED:0.12 QI:0|0.5|0.33|1|0.5|0.33|3|315|376
TCP	transcription factor	Potra2n15c28036.2	IPR005333,IPR017887	protein AED:0.16 eAED:0.16 QI:0|1|1|1|0|0|2|293|326
PHD	chromatin regulator	Potra2n15c28025.1	IPR001965,IPR011011	protein AED:0.37 eAED:0.37 QI:0|1|1|1|0|0|2|0|127
PHD	chromatin regulator	Potra2n15c28025.2	IPR001965	protein AED:0.19 eAED:0.19 QI:0|0|0.5|1|0|0|2|422|160
bHLH	transcription factor	Potra2n15c28000.1	IPR011598	protein AED:0.39 eAED:0.39 QI:0|1|0.83|1|0.4|0.33|6|239|307
bHLH	transcription factor	Potra2n15c28000.2	IPR011598	protein AED:0.27 eAED:0.27 QI:0|1|0.8|1|0.5|0.6|5|1631|307
WD40-like	transcription factor	Potra2n15c27996.1	IPR001680,IPR017986,IPR019775	protein AED:0.28 eAED:0.28 QI:0|0.87|0.77|1|0.62|0.55|9|402|627
WD40-like	transcription factor	Potra2n15c27996.2	IPR001680,IPR017986,IPR019775	protein AED:0.29 eAED:0.29 QI:0|0.87|0.77|1|0.62|0.55|9|391|627
WD40-like	transcription factor	Potra2n15c27996.3	IPR001680,IPR017986,IPR019775	protein AED:0.27 eAED:0.27 QI:0|0.85|0.75|1|0.71|0.62|8|512|627
C2H2	transcription factor	Potra2n15c28130.1	IPR001841,IPR018957	protein AED:0.14 eAED:0.14 QI:654|0.5|0.66|1|0.5|0.33|3|558|185
MYB-HB-like	transcription factor	Potra2n15c28118.1	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.15 eAED:0.15 QI:195|1|1|1|1|1|2|598|273
C2H2	transcription factor	Potra2n15c28123.1	IPR001841,IPR006594,IPR018957	protein AED:0.22 eAED:0.22 QI:711|1|1|1|0|0.33|3|516|412
LisH	transcription factor interactor and regulator	Potra2n15c28123.1	IPR001841,IPR006594,IPR018957	protein AED:0.22 eAED:0.22 QI:711|1|1|1|0|0.33|3|516|412
BED-type(Zn)	transcription factor/ chromatin remodeling	Potra2n15c28100.2	IPR003656,IPR012337	protein AED:0.27 eAED:0.27 QI:397|0.33|0.25|1|0.33|1|4|0|807
BED-type(Zn)	transcription factor/ chromatin remodeling	Potra2n15c28100.3	IPR003656,IPR012337	protein AED:0.19 eAED:0.19 QI:397|1|1|1|0|0.5|2|1009|812
A20-like	putative novel transcription regulator	Potra2n9c18858.1	IPR000058,IPR002653	protein AED:0.38 eAED:0.38 QI:0|0|0|1|1|1|2|0|143
bHLH	transcription factor	Potra2n15c28073.1	IPR011598	protein AED:0.16 eAED:0.16 QI:690|1|1|1|0.66|0.5|4|0|294
bHLH	transcription factor	Potra2n15c28073.2	IPR011598	protein AED:0.14 eAED:0.14 QI:690|1|1|1|1|1|3|230|255
MADS-type1	transcription factor	Potra2n4c8429.1	IPR002100	protein AED:0.18 eAED:0.18 QI:0|0|0|0.5|1|1|4|0|295
C2H2	transcription factor	Potra2n4c8436.1	IPR001841,IPR018957	protein AED:0.16 eAED:0.21 QI:963|1|0.5|1|0|0|2|0|167
C2H2	transcription factor	Potra2n4c8436.3	IPR001841,IPR018957	protein AED:0.39 eAED:0.39 QI:0|0|0.5|1|0|0|2|66|134
Tc-PD	transcription coactivator	Potra2n15c28170.4	IPR001533	protein AED:0.43 eAED:0.45 QI:0|0.16|0|1|0.66|0.71|7|0|304
Tc-PD	transcription coactivator	Potra2n15c28170.6	IPR001533	protein AED:0.46 eAED:0.46 QI:0|0.33|0.25|1|0.66|0.5|4|0|134
Tc-PD	transcription coactivator	Potra2n15c28170.7	IPR001533	protein AED:0.40 eAED:0.42 QI:0|0.33|0.5|1|0.33|0.25|4|533|215
WD40-like	transcription factor	Potra2n15c28171.1	IPR001680,IPR017986,IPR019775	protein AED:0.42 eAED:0.42 QI:163|0.87|0.88|1|0.62|0.66|9|553|428
WD40-like	transcription factor	Potra2n15c28171.2	IPR001680,IPR017986,IPR019775	protein AED:0.43 eAED:0.43 QI:163|0.85|0.87|1|0.71|0.87|8|265|428
ARF	transcription factor	Potra2n15c28227.1	IPR003340,IPR010525,IPR011525	protein AED:0.06 eAED:0.06 QI:339|1|1|1|0.65|0.57|21|4035|849
ARF	transcription factor	Potra2n15c28227.2	IPR003340,IPR010525,IPR011525	protein AED:0.05 eAED:0.05 QI:384|1|1|1|0.68|0.65|20|4035|849
ARF	transcription factor	Potra2n15c28227.3	IPR003340,IPR010525,IPR011525	protein AED:0.04 eAED:0.04 QI:528|1|1|1|0.72|0.68|19|4036|849
ARF	transcription factor	Potra2n15c28227.4	IPR003340,IPR010525,IPR011525	protein AED:0.04 eAED:0.04 QI:528|1|1|1|0.76|0.72|18|4065|849
ARF	transcription factor	Potra2n15c28227.5	IPR003340,IPR010525,IPR011525	protein AED:0.19 eAED:0.19 QI:339|1|1|1|0.86|0.81|16|1877|849
ARF	transcription factor	Potra2n15c28227.6	IPR003340,IPR010525,IPR011525	protein AED:0.18 eAED:0.18 QI:528|1|1|1|1|1|14|1877|849
bHLH	transcription factor	Potra2n15c28238.1	IPR011598	protein AED:0.11 eAED:0.11 QI:510|1|1|1|0.85|0.75|8|793|355
bHLH	transcription factor	Potra2n15c28238.2	IPR011598	protein AED:0.09 eAED:0.09 QI:510|1|1|1|0.83|0.85|7|881|359
CCHC(Zn)	transcription factor interactor and regulator	Potra2n15c28240.1	IPR001878	protein AED:0.27 eAED:0.27 QI:269|1|1|1|0|0.5|2|394|382
JmjC	transcription factor & chromatin remodeling &Metalloenzymes	Potra2n4c8458.1	IPR001841,IPR003347	protein AED:0.03 eAED:0.03 QI:36|0.91|0.92|1|0.75|0.69|13|275|1110
C2H2	transcription factor	Potra2n4c8458.1	IPR001841,IPR003347	protein AED:0.03 eAED:0.03 QI:36|0.91|0.92|1|0.75|0.69|13|275|1110
WRKY	transcription factor	Potra2n4c8469.1	IPR003657	protein AED:0.04 eAED:0.04 QI:212|0.8|0.83|1|1|1|6|393|614
bHLH	transcription factor	Potra2n15c28228.1	IPR011598	protein AED:0.05 eAED:0.05 QI:420|1|1|1|0.75|0.6|5|1799|557
